sentence#,word,pos,tag
0.0,Preheat,VB,U-Action
0.0,oven,NN,U-Utensil
0.0,to,IN,O
0.0,425,CD,O
0.0,degrees,NNS,O
0.0,F.,NN,O
1.0,Press,NN,U-Action
1.0,dough,NN,O
1.0,into,IN,O
1.0,the,DT,O
1.0,bottom,NN,O
1.0,and,CC,O
1.0,sides,NNS,O
1.0,of,IN,O
1.0,a,DT,O
1.0,12,CD,O
1.0,inch,NN,O
1.0,pizza,NN,B-Utensil
1.0,pan,NN,L-Utensil
1.0,.,.,O
2.0,Bake,VB,U-Action
2.0,for,IN,O
2.0,5,CD,O
2.0,minutes,NNS,O
2.0,until,IN,O
2.0,set,NN,O
2.0,but,CC,O
2.0,not,RB,O
2.0,browned,VBN,U-Action
2.0,.,.,O
3.0,Cut,VBN,U-Action
3.0,sausage,NN,U-Ingredient
3.0,into,IN,O
3.0,small,JJ,O
3.0,pieces,NNS,O
3.0,.,.,O
4.0,Whisk,VB,U-Action
4.0,eggs,NNS,U-Ingredient
4.0,and,CC,O
4.0,milk,NN,U-Ingredient
4.0,in,IN,O
4.0,a,DT,O
4.0,bowl,NN,U-Utensil
4.0,until,IN,O
4.0,frothy,JJ,O
4.0,.,.,O
5.0,Spoon,VB,U-Action
5.0,sausage,NN,U-Ingredient
5.0,over,IN,O
5.0,baked,JJ,O
5.0,crust,NN,O
5.0,and,CC,O
5.0,sprinkle,VB,U-Action
5.0,with,IN,O
5.0,cheese,NN,U-Ingredient
5.0,.,.,O
6.0,Pour,VB,U-Action
6.0,egg,NN,U-Ingredient
6.0,mixture,NN,O
6.0,slowly,RB,O
6.0,over,IN,O
6.0,sausage,NN,U-Ingredient
6.0,and,CC,O
6.0,cheese,NN,U-Ingredient
6.0,.,.,O
7.0,S,NNP,O
7.0,&,CC,O
7.0,P,NNP,O
7.0,to,TO,O
7.0,taste,VB,O
7.0,.,.,O
8.0,Bake,VB,U-Action
8.0,15,CD,O
8.0,-,SYM,O
8.0,20,CD,O
8.0,minutes,NNS,O
8.0,or,CC,O
8.0,until,IN,O
8.0,eggs,NNS,U-Ingredient
8.0,are,VBP,O
8.0,set,VBN,O
8.0,and,CC,O
8.0,crust,NN,O
8.0,is,VBZ,O
8.0,brown,JJ,O
8.0,.,.,O
9.0,Brown,JJ,U-Action
9.0,ground,NN,B-Ingredient
9.0,beef,NN,L-Ingredient
9.0,in,IN,O
9.0,large,JJ,B-Utensil
9.0,pot,NN,L-Utensil
9.0,.,.,O
10.0,Add,VB,U-Action
10.0,chopped,JJ,O
10.0,onions,NNS,U-Ingredient
10.0,to,TO,O
10.0,ground,VB,B-Ingredient
10.0,beef,NN,L-Ingredient
10.0,when,WRB,O
10.0,almost,RB,O
10.0,brown,JJ,O
10.0,and,CC,O
10.0,sautee,VBP,U-Action
10.0,until,IN,O
10.0,wilted,JJ,O
10.0,.,.,O
11.0,Add,VB,U-Action
11.0,all,DT,O
11.0,other,JJ,O
11.0,ingredients,NNS,O
11.0,.,.,O
12.0,Add,VB,U-Action
12.0,kidney,NN,B-Ingredient
12.0,beans,NNS,L-Ingredient
12.0,if,IN,O
12.0,you,PRP,O
12.0,like,VBP,O
12.0,beans,NNS,U-Ingredient
12.0,in,IN,O
12.0,your,PRP$,O
12.0,chili,NN,O
12.0,.,.,O
13.0,Cook,VB,U-Action
13.0,in,IN,O
13.0,slow,JJ,B-Utensil
13.0,cooker,NN,L-Utensil
13.0,on,IN,O
13.0,high,JJ,O
13.0,for,IN,O
13.0,2,CD,O
13.0,-,SYM,O
13.0,3,CD,O
13.0,hours,NNS,O
13.0,or,CC,O
13.0,6,CD,O
13.0,-,SYM,O
13.0,8,CD,O
13.0,hours,NNS,O
13.0,on,IN,O
13.0,low,JJ,O
13.0,.,.,O
14.0,Serve,VB,U-Action
14.0,with,IN,O
14.0,cold,JJ,O
14.0,clean,JJ,O
14.0,lettuce,NN,U-Ingredient
14.0,and,CC,O
14.0,shredded,VBN,B-Ingredient
