,sentence#,word,pos,tag
0,0.0,Preheat,VB,U-Action
1,0.0,oven,NN,U-Utensil
2,0.0,to,IN,O
3,0.0,425,CD,O
4,0.0,degrees,NNS,O
5,0.0,F.,NN,O
6,1.0,Press,NN,U-Action
7,1.0,dough,NN,O
8,1.0,into,IN,O
9,1.0,the,DT,O
10,1.0,bottom,NN,O
11,1.0,and,CC,O
12,1.0,sides,NNS,O
13,1.0,of,IN,O
14,1.0,a,DT,O
15,1.0,12,CD,O
16,1.0,inch,NN,O
17,1.0,pizza,NN,B-Utensil
18,1.0,pan,NN,L-Utensil
19,1.0,.,.,O
20,2.0,Bake,VB,U-Action
21,2.0,for,IN,O
22,2.0,5,CD,O
23,2.0,minutes,NNS,O
24,2.0,until,IN,O
25,2.0,set,NN,O
26,2.0,but,CC,O
27,2.0,not,RB,O
28,2.0,browned,VBN,U-Action
29,2.0,.,.,O
30,3.0,Cut,VBN,U-Action
31,3.0,sausage,NN,U-Ingredient
32,3.0,into,IN,O
33,3.0,small,JJ,O
34,3.0,pieces,NNS,O
35,3.0,.,.,O
36,4.0,Whisk,VB,U-Action
37,4.0,eggs,NNS,U-Ingredient
38,4.0,and,CC,O
39,4.0,milk,NN,U-Ingredient
40,4.0,in,IN,O
41,4.0,a,DT,O
42,4.0,bowl,NN,U-Utensil
43,4.0,until,IN,O
44,4.0,frothy,JJ,O
45,4.0,.,.,O
46,5.0,Spoon,VB,U-Action
47,5.0,sausage,NN,U-Ingredient
48,5.0,over,IN,O
49,5.0,baked,JJ,O
50,5.0,crust,NN,O
51,5.0,and,CC,O
52,5.0,sprinkle,VB,U-Action
53,5.0,with,IN,O
54,5.0,cheese,NN,U-Ingredient
55,5.0,.,.,O
56,6.0,Pour,VB,U-Action
57,6.0,egg,NN,U-Ingredient
58,6.0,mixture,NN,O
59,6.0,slowly,RB,O
60,6.0,over,IN,O
61,6.0,sausage,NN,U-Ingredient
62,6.0,and,CC,O
63,6.0,cheese,NN,U-Ingredient
64,6.0,.,.,O
65,7.0,S,NNP,O
66,7.0,&,CC,O
67,7.0,P,NNP,O
68,7.0,to,TO,O
69,7.0,taste,VB,O
70,7.0,.,.,O
71,8.0,Bake,VB,U-Action
72,8.0,15,CD,O
73,8.0,-,SYM,O
74,8.0,20,CD,O
75,8.0,minutes,NNS,O
76,8.0,or,CC,O
77,8.0,until,IN,O
78,8.0,eggs,NNS,U-Ingredient
79,8.0,are,VBP,O
80,8.0,set,VBN,O
81,8.0,and,CC,O
82,8.0,crust,NN,O
83,8.0,is,VBZ,O
84,8.0,brown,JJ,O
85,8.0,.,.,O
86,9.0,Brown,JJ,U-Action
87,9.0,ground,NN,B-Ingredient
88,9.0,beef,NN,L-Ingredient
89,9.0,in,IN,O
90,9.0,large,JJ,B-Utensil
91,9.0,pot,NN,L-Utensil
92,9.0,.,.,O
93,10.0,Add,VB,U-Action
94,10.0,chopped,JJ,O
95,10.0,onions,NNS,U-Ingredient
96,10.0,to,TO,O
97,10.0,ground,VB,B-Ingredient
98,10.0,beef,NN,L-Ingredient
99,10.0,when,WRB,O
100,10.0,almost,RB,O
101,10.0,brown,JJ,O
102,10.0,and,CC,O
103,10.0,sautee,VBP,U-Action
104,10.0,until,IN,O
105,10.0,wilted,JJ,O
106,10.0,.,.,O
107,11.0,Add,VB,U-Action
108,11.0,all,DT,O
109,11.0,other,JJ,O
110,11.0,ingredients,NNS,O
111,11.0,.,.,O
112,12.0,Add,VB,U-Action
113,12.0,kidney,NN,B-Ingredient
114,12.0,beans,NNS,L-Ingredient
115,12.0,if,IN,O
116,12.0,you,PRP,O
117,12.0,like,VBP,O
118,12.0,beans,NNS,U-Ingredient
119,12.0,in,IN,O
120,12.0,your,PRP$,O
121,12.0,chili,NN,O
122,12.0,.,.,O
123,13.0,Cook,VB,U-Action
124,13.0,in,IN,O
125,13.0,slow,JJ,B-Utensil
126,13.0,cooker,NN,L-Utensil
